# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 12
1 14.9429 23.6382 -20.608
2 6.13587 -11.6316 -20.7846
3 -22.3641 18.9889 -19.8733
4 -2.16344 -8.61535 11.7792
5 -0.828129 21.6853 11.8946
6 -21.5524 18.7167 43.0911
7 13.85 -15.2001 -20.5346
8 -24.0199 -29.8924 -19.8865
9 -31.3141 24.2895 -20.6795
10 -19.3006 -12.8302 11.5929
11 -2.86406 7.00397 -20.4932
12 33.3045 6.82669 11.2142
312000 12
1 14.5456 23.1909 -20.6699
2 6.14923 -11.6784 -20.8447
3 -22.2579 17.037 -20.2402
4 -1.75208 -7.7965 11.6699
5 -1.70784 21.8306 11.8729
6 -21.7553 17.5942 42.8786
7 13.8105 -15.5401 -20.7502
8 -24.8622 -30.4521 -20.1647
9 -31.5753 23.8977 -20.7351
10 -18.6377 -12.9488 11.3583
11 -4.1385 7.33111 -20.6306
12 32.6388 7.51035 11.2776
318000 12
1 13.1415 22.9612 -20.8071
2 6.52145 -11.8779 -20.7244
3 -22.1415 16.8746 -20.7324
4 -2.23239 -6.91869 11.4755
5 -1.92595 21.9207 11.629
6 -21.5494 17.6647 42.4472
7 14.0725 -15.9669 -20.8022
8 -24.7998 -30.4895 -20.8313
9 -32.9247 23.685 -20.8013
10 -18.2893 -13.3166 11.6406
11 -4.65775 7.55356 -20.5129
12 32.0614 7.28561 11.3117
324000 12
1 12.5556 23.2981 -21.0326
2 6.77801 -12.2647 -20.95
3 -21.5338 16.5813 -20.8063
4 -2.70053 -7.78803 11.4459
5 -1.74633 22.6466 11.6401
6 -21.0422 17.4486 42.438
7 13.7371 -14.8873 -21.0695
8 -24.2259 -30.9903 -20.9793
9 -33.2957 23.9669 -21.0855
10 -18.1318 -13.3532 11.3745
11 -3.609 7.26565 -20.2858
12 31.9711 6.8094 11.4387
330000 12
1 12.7463 23.0605 -21.1474
2 5.76194 -12.8094 -20.6081
3 -21.7432 16.9049 -20.9466
4 -4.73803 -8.60889 11.7761
5 -2.0699 21.8578 11.307
6 -21.1796 17.7768 42.2237
7 13.7673 -14.1617 -20.858
8 -24.2825 -30.6671 -20.8646
9 -32.9597 23.6539 -21.1677
10 -18.2453 -12.6373 11.3477
11 -3.06522 6.75846 -20.3512
12 32.3413 6.36072 11.5545
336000 12
1 12.7453 23.0468 -20.9827
2 5.76624 -14.0648 -20.4532
3 -22.4005 17.0775 -20.8114
4 -5.41942 -8.65827 11.5438
5 -3.20183 20.6184 11.164
6 -21.9137 17.6204 42.3212
7 13.3721 -13.8412 -20.4622
8 -24.3798 -31.02 -20.9541
9 -32.8515 23.5576 -21.013
10 -18.1223 -13.3285 11.6892
11 -3.22613 7.03326 -20.6415
12 32.6246 6.14452 11.5096
342000 12
1 13.4413 22.7321 -20.8576
2 5.24855 -14.4188 -20.5447
3 -23.2973 16.7799 -20.8628
4 -5.14249 -7.88216 11.6305
5 -3.12057 20.7014 11.1098
6 -22.4546 16.7992 42.2786
7 13.507 -14.2495 -20.2771
8 -24.8747 -31.5769 -20.9411
9 -32.0867 23.1844 -20.7844
10 -18.131 -12.5071 11.9799
11 -2.88315 7.04978 -20.6886
12 32.6203 5.42221 11.912
348000 12
1 13.8217 21.8341 -20.5558
2 5.38317 -14.5354 -20.2427
3 -23.7385 16.6591 -20.8688
4 -5.96713 -7.88178 11.5661
5 -2.51751 20.4161 11.2988
6 -22.8238 16.5319 42.219
7 13.1791 -14.8731 -20.6178
8 -25.3687 -31.8424 -21.0169
9 -31.6008 22.299 -20.5346
10 -17.7231 -11.9432 11.8452
11 -3.35943 5.24123 -20.4324
12 32.1329 4.74362 11.969
354000 12
1 13.8021 22.1349 -20.8164
2 6.25941 -14.8793 -20.4239
3 -23.5924 16.6762 -20.6173
4 -5.98048 -7.36493 12.054
5 -2.03064 20.797 11.433
6 -22.5598 16.4033 42.4218
7 13.2466 -15.065 -20.2759
8 -25.9426 -31.0609 -20.5396
9 -31.6103 22.6978 -20.8174
10 -17.9935 -12.1937 11.1925
11 -3.4847 5.02075 -20.2973
12 31.7664 4.70966 11.7323
360000 12
1 14.1122 22.0617 -20.3627
2 6.63926 -14.6784 -20.382
3 -23.41 17.2029 -20.3092
4 -5.3722 -5.73201 11.9433
5 -2.59311 21.1094 11.7966
6 -22.5044 16.8323 42.7959
7 13.6533 -14.9755 -20.3985
8 -25.9152 -30.0393 -20.4879
9 -31.3953 22.5711 -20.394
10 -18.2363 -12.5361 11.4207
11 -2.6037 5.87432 -20.7
12 30.0568 5.3719 11.6263
366000 12
1 13.8046 21.6644 -20.2839
2 6.31826 -14.1055 -20.5593
